Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
172.10.2.104-192.168.10.23-80-53597-6,192.168.10.23,53597,172.10.2.104,80,6,14/11/2019 07:59:29 AM,13,2,5,397.0,127.0,391.0,6.0,198.5,272.2361107568208,115.0,0.0,25.4,50.17768428295591,4.030769230769231E7,538461.5384615385,2.1666666666666665,1.1690451944500122,4.0,1.0,2.0,2.0,0.0,2.0,2.0,13.0,3.25,2.6299556396765835,7.0,1.0,0,0,0,0,40,124,153846.15384615384,384615.3846153846,0.0,391.0,65.5,137.2651240691323,18841.714285714286,0,1,0,0,0,0,0,0,2.0,74.85714285714286,198.5,25.4,0,0,0,0,0,0,2,397,5,127,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
192.168.20.29-10.10.103.87-7680-60255-6,10.10.103.87,60255,192.168.20.29,7680,6,14/11/2019 07:59:29 AM,8,4,1,93.0,0.0,75.0,6.0,23.25,34.5,0.0,0.0,0.0,0.0,1.1625E7,625000.0,2.0,0.816496580927726,3.0,1.0,6.0,2.0,1.0,3.0,1.0,0,0,0,0,0,0,0,0,0,80,32,500000.0,125000.0,0.0,75.0,15.499999999999998,29.29675749976437,858.3,0,1,0,0,0,0,0,0,0.0,18.6,23.25,0.0,0,0,0,0,0,0,4,93,1,0,-1,64240,4,0,0,0,0,0,0,0,0,0,No Label
192.168.20.29-10.10.103.87-7680-60255-6,192.168.20.29,7680,10.10.103.87,60255,6,14/11/2019 07:59:29 AM,6,1,1,6.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1000000.0,333333.3333333333,6.0,0.0,6.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,166666.66666666666,166666.66666666666,0.0,6.0,2.0,3.4641016151377544,12.0,0,1,0,0,1,0,0,0,1.0,3.0,6.0,0.0,0,0,0,0,0,0,1,6,1,0,-1,65535,1,0,0,0,0,0,0,0,0,0,No Label
172.10.2.104-192.168.10.23-80-53596-6,192.168.10.23,53596,172.10.2.104,80,6,14/11/2019 07:59:29 AM,168,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,107142.85714285714,17857.14285714286,84.0,59.39696961966999,126.0,42.0,0,0,0,0,0,42.0,42.0,0.0,42.0,42.0,0,0,0,0,20,40,5952.380952380952,11904.761904761905,6.0,6.0,6.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,8.0,6.0,6.0,0,0,0,0,0,0,1,6,2,12,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
172.10.2.104-192.168.10.23-80-53597-6,192.168.10.23,53597,172.10.2.104,80,6,14/11/2019 07:59:29 AM,186,4,5,403.0,133.0,391.0,0.0,100.75,193.52067073054496,115.0,0.0,26.6,49.48535136785431,2881720.430107527,48387.09677419355,23.25,50.70009861923347,147.0,1.0,179.0,59.66666666666667,76.29110913686688,147.0,6.0,186.0,46.5,72.26110064665959,153.0,1.0,0,0,0,0,92,112,21505.376344086024,26881.72043010753,0.0,391.0,54.2,123.35387216369732,15216.177777777779,0,0,0,0,1,0,0,0,1.0,60.22222222222222,100.75,26.6,0,0,0,0,0,0,4,403,5,133,-1,237,3,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58774-80-6,192.168.40.30,58774,10.11.10.201,80,6,14/11/2019 07:59:29 AM,11,2,5,369.0,127.0,363.0,6.0,184.5,252.43712088359746,115.0,0.0,25.4,50.17768428295591,4.509090909090909E7,636363.6363636364,1.8333333333333335,1.1690451944500122,3.0,0.0,3.0,3.0,0.0,3.0,3.0,11.0,2.75,0.957427107756338,4.0,2.0,0,0,0,0,40,124,181818.18181818182,454545.45454545453,0.0,363.0,62.0,127.8112447545766,16335.714285714284,0,1,0,0,0,0,0,0,2.0,70.85714285714286,184.5,25.4,0,0,0,0,0,0,2,369,5,127,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58774-80-6,192.168.40.30,58774,10.11.10.201,80,6,14/11/2019 07:59:29 AM,6,2,2,12.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,4000000.0,666666.6666666666,2.0,1.0,3.0,1.0,3.0,3.0,0.0,3.0,3.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,40,40,333333.3333333333,333333.3333333333,6.0,6.0,6.0,0.0,0.0,0,0,0,0,1,0,0,0,1.0,7.5,6.0,6.0,0,0,0,0,0,0,2,12,2,12,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58775-80-6,192.168.40.30,58775,10.11.10.201,80,6,14/11/2019 07:59:29 AM,9,2,5,369.0,127.0,363.0,6.0,184.5,252.43712088359746,115.0,0.0,25.4,50.17768428295591,5.511111111111111E7,777777.7777777778,1.5,0.5477225575051661,2.0,1.0,1.0,1.0,0.0,1.0,1.0,9.0,2.25,1.2583057392117916,4.0,1.0,0,0,0,0,40,124,222222.22222222222,555555.5555555555,0.0,363.0,62.0,127.8112447545766,16335.714285714286,0,1,0,0,0,0,0,0,2.0,70.85714285714286,184.5,25.4,0,0,0,0,0,0,2,369,5,127,-1,237,2,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58773-80-6,192.168.40.30,58773,10.11.10.201,80,6,14/11/2019 07:59:29 AM,65,1,2,6.0,12.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,276923.07692307694,46153.846153846156,32.5,9.192388155425117,39.0,26.0,0,0,0,0,0,26.0,26.0,0.0,26.0,26.0,0,0,0,0,20,40,15384.615384615387,30769.230769230773,6.0,6.0,6.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,8.0,6.0,6.0,0,0,0,0,0,0,1,6,2,12,-1,237,1,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58774-80-6,192.168.40.30,58774,10.11.10.201,80,6,14/11/2019 07:59:29 AM,100,6,8,744.0,248.0,363.0,0.0,124.0,185.14318783039252,115.0,0.0,31.0,51.92026854431982,9920000.0,140000.0,7.692307692307692,11.520884047275592,31.0,1.0,40.0,8.0,14.543039572248986,34.0,1.0,100.0,14.285714285714285,21.250210082995146,56.0,1.0,0,0,0,0,132,196,60000.0,80000.0,0.0,363.0,66.13333333333334,126.6603256558189,16042.838095238096,0,1,0,0,0,0,0,0,1.0,70.85714285714286,124.0,31.0,0,0,0,0,0,0,6,744,8,248,-1,237,5,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58774-80-6,10.11.10.201,80,192.168.40.30,58774,6,14/11/2019 07:59:29 AM,7,2,5,12.0,30.0,6.0,6.0,6.0,0.0,6.0,6.0,6.0,0.0,6000000.0,1000000.0,1.1666666666666667,0.983192080250175,2.0,0.0,2.0,2.0,0.0,2.0,2.0,7.0,1.75,0.49999999999999994,2.0,1.0,0,0,0,0,40,100,285714.28571428574,714285.7142857143,6.0,6.0,6.0,0.0,0.0,1,0,0,0,1,0,0,0,2.0,6.857142857142857,6.0,6.0,0,0,0,0,0,0,2,12,5,30,-1,1023,2,0,0,0,0,0,0,0,0,0,No Label
192.168.20.29-10.10.103.87-7680-60255-6,192.168.20.29,7680,10.10.103.87,60255,6,14/11/2019 07:59:29 AM,2280,3,1,6.0,6.0,6.0,0.0,2.0,3.4641016151377544,6.0,6.0,6.0,0.0,5263.1578947368425,1754.3859649122808,760.0,1312.894512137209,2276.0,2.0,4.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,84,20,1315.7894736842106,438.5964912280702,0.0,6.0,3.6,3.286335345030997,10.8,0,0,0,0,1,0,0,0,0.0,4.5,2.0,6.0,0,0,0,0,0,0,3,6,1,6,-1,8212,1,0,0,0,0,0,0,0,0,0,No Label
192.168.40.30-10.11.10.201-58775-80-6,192.168.40.30,58775,10.11.10.201,80,6,14/11/2019 07:59:29 AM,185,7,8,744.0,254.0,363.0,0.0,106.28571428571428,175.38977002257408,115.0,0.0,31.75,51.44969804159621,5394594.594594595,81081.08108108108,13.214285714285714,43.12090082445041,163.0,1.0,177.0,29.499999999999996,65.4209446584196,163.0,1.0,185.0,26.428571428571427,63.8014031790763,171.0,1.0,0,0,0,0,164,184,37837.83783783784,43243.24324324325,0.0,363.0,62.75,123.09210643524898,15151.666666666664,0,0,0,0,1,0,0,0,1.0,66.93333333333334,106.28571428571429,31.75,0,0,0,0,0,0,7,744,8,254,-1,237,5,0,0,0,0,0,0,0,0,0,No Label
192.168.20.29-10.10.103.87-7680-60255-6,192.168.20.29,7680,10.10.103.87,60255,6,14/11/2019 07:59:29 AM,36,2,10,12.0,186.0,6.0,6.0,6.0,0.0,75.0,0.0,18.6,29.826163011691595,5500000.0,333333.3333333333,3.272727272727272,4.29164092372391,14.0,0.0,15.0,15.0,0.0,15.0,15.0,36.0,4.0,7.158910531638176,23.0,1.0,0,0,0,0,40,224,55555.555555555555,277777.77777777775,0.0,75.0,15.692307692307695,26.414593868366957,697.7307692307692,1,0,0,0,1,0,0,0,5.0,17.0,6.0,18.6,0,0,0,0,0,0,2,12,10,186,-1,8212,2,0,0,0,0,0,0,0,0,0,No Label
